Date,event,sex,Time,Wind,Auto,Athlete,Nationality,time_s,time_m,time_h,time_norm
1891-07-04,100,m,00:00:10.80,NA,NA,Luther Cary,United States,10.8,0.18000000000000002,0.003,1.1273486430062631
1892-09-25,100,m,00:00:10.80,NA,NA,Cecil Lee,United Kingdom,10.8,0.18000000000000002,0.003,1.1273486430062631
1893-08-04,100,m,00:00:10.80,NA,NA,Étienne De Ré,Belgium,10.8,0.18000000000000002,0.003,1.1273486430062631
1895-04-13,100,m,00:00:10.80,NA,NA,L. Atcherley,United Kingdom,10.8,0.18000000000000002,0.003,1.1273486430062631
1895-08-28,100,m,00:00:10.80,NA,NA,Harry Beaton,United Kingdom,10.8,0.18000000000000002,0.003,1.1273486430062631
1896-08-09,100,m,00:00:10.80,NA,NA,Harald Anderson-Arbin,Sweden,10.8,0.18000000000000002,0.003,1.1273486430062631
1898-09-11,100,m,00:00:10.80,NA,NA,Isaac Westergren,Sweden,10.8,0.18000000000000002,0.003,1.1273486430062631
1899-09-10,100,m,00:00:10.80,NA,NA,Isaac Westergren,Sweden,10.8,0.18000000000000002,0.003,1.1273486430062631
1900-07-14,100,m,00:00:10.80,NA,NA,Frank Jarvis,United States,10.8,0.18000000000000002,0.003,1.1273486430062631
1900-07-14,100,m,00:00:10.80,NA,NA,Walter Tewksbury,United States,10.8,0.18000000000000002,0.003,1.1273486430062631
1900-09-23,100,m,00:00:10.80,NA,NA,Carl Ljung,Sweden,10.8,0.18000000000000002,0.003,1.1273486430062631
1900-10-06,100,m,00:00:10.80,NA,NA,Walter Tewksbury,United States,10.8,0.18000000000000002,0.003,1.1273486430062631
1903-06-14,100,m,00:00:10.80,NA,NA,André Passat,France,10.8,0.18000000000000002,0.003,1.1273486430062631
1903-06-14,100,m,00:00:10.80,NA,NA,Louis Kuhn,Switzerland,10.8,0.18000000000000002,0.003,1.1273486430062631
1903-07-05,100,m,00:00:10.80,NA,NA,Harald Grønfeldt,Denmark,10.8,0.18000000000000002,0.003,1.1273486430062631
1903-08-09,100,m,00:00:10.80,NA,NA,Eric Frick,Sweden,10.8,0.18000000000000002,0.003,1.1273486430062631
1906-08-26,100,m,00:00:10.60,NA,NA,Knut Lindberg,Sweden,10.6,0.17666666666666667,0.0029444444444444444,1.1064718162839249
1911-07-09,100,m,00:00:10.50,NA,NA,Emil Ketterer,Germany,10.5,0.175,0.002916666666666667,1.0960334029227556
1911-08-13,100,m,00:00:10.50,NA,NA,Richard Rau,Germany,10.5,0.175,0.002916666666666667,1.0960334029227556
1912-05-12,100,m,00:00:10.50,NA,NA,Richard Rau,Germany,10.5,0.175,0.002916666666666667,1.0960334029227556
1912-05-26,100,m,00:00:10.50,NA,NA,Erwin Kern,Germany,10.5,0.175,0.002916666666666667,1.0960334029227556
1912-07-06,100,m,00:00:10.60,NA,NA,Donald Lippincott,United States,10.6,0.17666666666666667,0.0029444444444444444,1.1064718162839249
1920-09-16,100,m,00:00:10.60,NA,NA,Jackson Scholz,United States,10.6,0.17666666666666667,0.0029444444444444444,1.1064718162839249
1921-04-23,100,m,00:00:10.40,NA,NA,Charley Paddock,United States,10.4,0.17333333333333334,0.002888888888888889,1.0855949895615866
1929-08-08,100,m,00:00:10.40,0.0,NA,Eddie Tolan,United States,10.4,0.17333333333333334,0.002888888888888889,1.0855949895615866
1929-08-25,100,m,00:00:10.40,NA,NA,Eddie Tolan,United States,10.4,0.17333333333333334,0.002888888888888889,1.0855949895615866
1930-08-09,100,m,00:00:10.30,NA,NA,Percy Williams,Canada,10.3,0.1716666666666667,0.002861111111111111,1.0751565762004176
1932-08-01,100,m,00:00:10.30,0.4,10.38,Eddie Tolan,United States,10.3,0.1716666666666667,0.002861111111111111,1.0751565762004176
1933-08-12,100,m,00:00:10.30,NA,NA,Ralph Metcalfe,United States,10.3,0.1716666666666667,0.002861111111111111,1.0751565762004176
1934-08-06,100,m,00:00:10.30,NA,NA,Eulace Peacock,United States,10.3,0.1716666666666667,0.002861111111111111,1.0751565762004176
1934-08-26,100,m,00:00:10.30,NA,NA,Chris Berger,Netherlands,10.3,0.1716666666666667,0.002861111111111111,1.0751565762004176
1934-09-15,100,m,00:00:10.30,NA,NA,Ralph Metcalfe,United States,10.3,0.1716666666666667,0.002861111111111111,1.0751565762004176
1934-09-23,100,m,00:00:10.30,2.0,NA,Ralph Metcalfe,United States,10.3,0.1716666666666667,0.002861111111111111,1.0751565762004176
1935-06-15,100,m,00:00:10.30,2.5,NA,Takayoshi Yoshioka,Japan,10.3,0.1716666666666667,0.002861111111111111,1.0751565762004176
1936-06-20,100,m,00:00:10.20,1.2,NA,Jesse Owens,United States,10.2,0.16999999999999998,0.002833333333333333,1.0647181628392484
1936-09-26,100,m,00:00:10.30,0.5,NA,Lennart Strandberg,Sweden,10.3,0.1716666666666667,0.002861111111111111,1.0751565762004176
1941-06-06,100,m,00:00:10.20,−0.9,NA,Harold Davis,United States,10.2,0.16999999999999998,0.002833333333333333,1.0647181628392484
1948-05-15,100,m,00:00:10.20,0.7,NA,Lloyd LaBeach,Panama,10.2,0.16999999999999998,0.002833333333333333,1.0647181628392484
1948-07-09,100,m,00:00:10.20,NA,10.35,Barney Ewell,United States,10.2,0.16999999999999998,0.002833333333333333,1.0647181628392484
1951-08-25,100,m,00:00:10.20,0.0,NA,McDonald Bailey,Great Britain,10.2,0.16999999999999998,0.002833333333333333,1.0647181628392484
1954-10-31,100,m,00:00:10.20,1.1,NA,Heinz Fütterer,West Germany,10.2,0.16999999999999998,0.002833333333333333,1.0647181628392484
1956-05-19,100,m,00:00:10.20,0.9,NA,Bobby Morrow,United States,10.2,0.16999999999999998,0.002833333333333333,1.0647181628392484
1956-06-01,100,m,00:00:10.20,−1.0,NA,Ira Murchison,United States,10.2,0.16999999999999998,0.002833333333333333,1.0647181628392484
1956-06-22,100,m,00:00:10.20,0.0,NA,Bobby Morrow,United States,10.2,0.16999999999999998,0.002833333333333333,1.0647181628392484
1956-06-29,100,m,00:00:10.20,−1.3,NA,Ira Murchison,United States,10.2,0.16999999999999998,0.002833333333333333,1.0647181628392484
1956-06-29,100,m,00:00:10.20,−0.4,NA,Bobby Morrow,United States,10.2,0.16999999999999998,0.002833333333333333,1.0647181628392484
1956-08-03,100,m,00:00:10.10,0.7,NA,Willie Williams,United States,10.1,0.16833333333333333,0.0028055555555555555,1.0542797494780793
1956-08-04,100,m,00:00:10.10,1.0,NA,Ira Murchison,United States,10.1,0.16833333333333333,0.0028055555555555555,1.0542797494780793
1956-10-20,100,m,00:00:10.10,1.5,NA,Leamon King,United States,10.1,0.16833333333333333,0.0028055555555555555,1.0542797494780793
1956-10-27,100,m,00:00:10.10,0.9,NA,Leamon King,United States,10.1,0.16833333333333333,0.0028055555555555555,1.0542797494780793
1959-04-18,100,m,00:00:10.10,1.3,NA,Ray Norton,United States,10.1,0.16833333333333333,0.0028055555555555555,1.0542797494780793
1960-06-21,100,m,00:00:10.00,0.9,10.25,Armin Hary,West Germany,10,0.16666666666666666,0.002777777777777778,1.0438413361169103
1960-07-15,100,m,00:00:10.00,1.8,NA,Harry Jerome,Canada,10,0.16666666666666666,0.002777777777777778,1.0438413361169103
1964-08-15,100,m,00:00:10.00,0.0,NA,Horacio Esteves,Venezuela,10,0.16666666666666666,0.002777777777777778,1.0438413361169103
1964-10-15,100,m,00:00:10.06,1.3,NA,Bob Hayes,United States,10.06,0.16766666666666669,0.0027944444444444444,1.0501043841336117
1964-10-15,100,m,00:00:10.00,1.3,10.06,Bob Hayes,United States,10,0.16666666666666666,0.002777777777777778,1.0438413361169103
1967-05-27,100,m,00:00:10.00,2.0,10.17,Jim Hines,United States,10,0.16666666666666666,0.002777777777777778,1.0438413361169103
1967-06-17,100,m,00:00:10.00,1.8,NA,Enrique Figuerola,Cuba,10,0.16666666666666666,0.002777777777777778,1.0438413361169103
1968-04-02,100,m,00:00:10.00,0.0,NA,Paul Nash,South Africa,10,0.16666666666666666,0.002777777777777778,1.0438413361169103
1968-05-31,100,m,00:00:10.00,1.1,NA,Oliver Ford,United States,10,0.16666666666666666,0.002777777777777778,1.0438413361169103
1968-06-20,100,m,00:00:10.03,0.8,NA,Jim Hines,United States,10.03,0.16716666666666666,0.0027861111111111107,1.0469728601252608
1968-06-20,100,m,00:00:10.00,2.0,10.20,Charles Greene,United States,10,0.16666666666666666,0.002777777777777778,1.0438413361169103
1968-06-20,100,m,00:00:10.00,2.0,10.28,Roger Bambuck,France,10,0.16666666666666666,0.002777777777777778,1.0438413361169103
1968-06-20,100,m,00:00:09.90,0.8,10.03,Jim Hines,United States,9.9,0.165,0.0027500000000000003,1.033402922755741
1968-06-20,100,m,00:00:09.90,0.8,10.14,Ronnie Ray Smith,United States,9.9,0.165,0.0027500000000000003,1.033402922755741
1968-06-20,100,m,00:00:09.90,0.9,10.10,Charles Greene,United States,9.9,0.165,0.0027500000000000003,1.033402922755741
1968-10-13,100,m,00:00:10.02,2.0,NA,Charles Greene,United States,10.02,0.16699999999999998,0.0027833333333333334,1.045929018789144
1968-10-14,100,m,00:00:09.95,0.3,NA,Jim Hines,United States,9.95,0.16583333333333333,0.0027638888888888886,1.0386221294363256
1968-10-14,100,m,00:00:09.90,0.3,9.95,Jim Hines,United States,9.9,0.165,0.0027500000000000003,1.033402922755741
1972-07-01,100,m,00:00:09.90,0.0,NA,Eddie Hart,United States,9.9,0.165,0.0027500000000000003,1.033402922755741
1972-07-01,100,m,00:00:09.90,0.0,NA,Rey Robinson,United States,9.9,0.165,0.0027500000000000003,1.033402922755741
1974-06-21,100,m,00:00:09.90,1.3,NA,Steve Williams,United States,9.9,0.165,0.0027500000000000003,1.033402922755741
